search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url,description,model,model_source,detail_status
브레짜 분유,226011734,베이비브레짜 분유제조기 본사 세척서비스 완료 (깔대기2개 분유통2개),70000,0,판매중,,2026-03-07 13:08:53,https://web.joongna.com/product/226011734,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220129468,화이트 베이비 브레짜 분유제조기 (분해세척 완료) 출산준비,170000,0,판매중,,2026-03-04 10:58:30,https://web.joongna.com/product/220129468,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224877749,베이비브레짜 포뮬라 프로 어드밴스드 자동 분유제조기,55000,3,판매완료,,2026-03-03 17:03:47,https://web.joongna.com/product/224877749,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,225431096,신형)베이비브레짜 분유제조기 미개봉 새상품,240000,3,판매완료,비전1동,2026-02-19 22:48:34,https://web.joongna.com/product/225431096,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,225429154,베이비브레짜 분유제조기 (업체세척완료),80000,3,판매완료,,2026-02-19 21:55:58,https://web.joongna.com/product/225429154,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,225017769,베이비브레짜 분유제조기 화이트 미개봉 새상품 (깔때기 2개 추가 증정),260000,3,판매완료,답십리제1동,2026-02-07 17:34:01,https://web.joongna.com/product/225017769,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223974605,베이비 브레짜 분유 제조기,250000,3,판매완료,청담동,2026-02-07 17:06:04,https://web.joongna.com/product/223974605,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224245632,베이비브레짜 분유제조기,45000,3,판매완료,범안동,2026-02-05 17:04:47,https://web.joongna.com/product/224245632,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224832046,"베이비브레짜 분유제조기(새상품,깔대기두세트포함)",160000,3,판매완료,용상동,2026-02-02 19:54:44,https://web.joongna.com/product/224832046,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224700499,베이비브레짜 분유제조기,250000,0,판매중,문정2동,2026-01-30 11:05:22,https://web.joongna.com/product/224700499,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224385247,베이비브레짜 분유제조기,64000,3,판매완료,구의제2동,2026-01-21 22:33:58,https://web.joongna.com/product/224385247,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224346101,베이비 브레짜 분유제조기,30000,3,판매완료,구갈동,2026-01-20 22:37:07,https://web.joongna.com/product/224346101,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222765750,베이비브레짜 분유 제조기 (2달 사용),50000,3,판매완료,서초4동,2026-01-20 14:56:37,https://web.joongna.com/product/222765750,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,224282846,베이비브레짜 분유제조기,210000,0,판매중,은행동,2026-01-19 12:22:20,https://web.joongna.com/product/224282846,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223507131,베이비브레짜 분유제조기,39000,3,판매완료,팔복동,2026-01-10 18:51:26,https://web.joongna.com/product/223507131,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223932428,베이비브레짜 분유제조기(미개봉 새상품),230000,3,판매완료,삼산동,2026-01-10 00:28:26,https://web.joongna.com/product/223932428,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223862980,베이비 브레짜 분유제조기 BRZFRP-1A,20000,3,판매완료,청라2동,2026-01-08 09:09:18,https://web.joongna.com/product/223862980,,BRZFRP-1A,text_code,not_requested
브레짜 분유,223404536,베이비브레짜 분유제조기,65000,0,판매중,안양1동,2026-01-07 15:18:05,https://web.joongna.com/product/223404536,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223780796,(새상품)베이비브레짜 분유제조기 새상품 + 추가깔때기 1개,250000,3,판매완료,성산제1동,2026-01-05 23:34:33,https://web.joongna.com/product/223780796,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223229086,베이비브레짜 분유제조기,95000,3,판매완료,,2026-01-04 17:04:18,https://web.joongna.com/product/223229086,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223424198,베이비브레짜 자동 분유제조기 1.5L,200000,0,판매중,,2026-01-03 10:38:41,https://web.joongna.com/product/223424198,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,152521845,베이비브레짜 분유제조기,80000,0,판매중,성내1동,2025-12-31 09:42:15,https://web.joongna.com/product/152521845,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223498447,"베이비브레짜 분유제조기 풀박스+깔대기, 물통",80000,3,판매완료,,2025-12-29 12:46:07,https://web.joongna.com/product/223498447,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223430315,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,170000,0,판매중,과천동,2025-12-27 15:27:48,https://web.joongna.com/product/223430315,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,163884791,브레짜 분유제조기,35000,0,판매중,남사읍,2025-12-24 09:32:39,https://web.joongna.com/product/163884791,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223181569,베이비브레짜 포뮬라프로 어드밴스드 분유제조기,100000,0,판매중,동춘1동,2025-12-20 16:22:50,https://web.joongna.com/product/223181569,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,222636420,베이비브레짜 분유제조기(새제품),180000,3,판매완료,반포1동,2025-12-19 23:35:22,https://web.joongna.com/product/222636420,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,223160698,[택포3만원] 베이비브레짜 분유제조기,30000,3,판매완료,,2025-12-19 23:05:05,https://web.joongna.com/product/223160698,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222994739,베이비브레짜 분유제조기,30000,3,판매완료,왕십리제2동,2025-12-15 17:19:11,https://web.joongna.com/product/222994739,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222526017,베이비브레짜 분유제조기 차콜,180000,3,판매완료,송월동,2025-12-15 17:08:28,https://web.joongna.com/product/222526017,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222699255,베이비브레짜 포뮬러 프로 어드밴스드 분유제조기,200000,3,판매완료,구로제1동,2025-12-11 19:41:12,https://web.joongna.com/product/222699255,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,222715827,베이비 브레짜 분유제조기,32000,3,판매완료,회천4동,2025-12-08 10:22:54,https://web.joongna.com/product/222715827,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222704370,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,100000,0,판매중,동춘1동,2025-12-07 21:55:01,https://web.joongna.com/product/222704370,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,222690777,베이비 브레짜 분유제조기,100000,3,판매완료,한남동,2025-12-07 15:52:37,https://web.joongna.com/product/222690777,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222549450,베이비브레짜 분유제조기+깔대기2개추가 (새상품),190000,0,판매중,일광읍,2025-12-03 16:35:28,https://web.joongna.com/product/222549450,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,221833637,[미개봉] 베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,200000,3,판매완료,삼송1동,2025-12-01 08:00:05,https://web.joongna.com/product/221833637,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,222095417,(미개봉새상품) 브레짜 분유 제조기 + 깔대기2,250000,0,판매중,배곧1동,2025-11-30 16:16:43,https://web.joongna.com/product/222095417,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222397914,베이비브레짜 분유제조기 (깔대기 3개),30000,3,판매완료,자양제1동,2025-11-29 16:53:03,https://web.joongna.com/product/222397914,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222293601,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,200000,0,판매중,,2025-11-26 18:32:45,https://web.joongna.com/product/222293601,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,143353346,베이비브레짜 분유제조기 팝니다!!!,130000,0,판매중,,2025-11-25 21:39:40,https://web.joongna.com/product/143353346,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222158607,베이비브레짜 분유제조기 소독기,150000,3,판매완료,덕이동,2025-11-23 10:15:32,https://web.joongna.com/product/222158607,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,222146733,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,200000,0,판매중,매교동,2025-11-22 21:16:58,https://web.joongna.com/product/222146733,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,222136623,(새상품급) 베이비브레짜 포뮬라 프로 어드밴스드 분유제조기 판매합니다!!,150000,3,판매완료,,2025-11-22 16:27:58,https://web.joongna.com/product/222136623,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,221203338,베이비 브레짜 분유 제조기 (분유통2개 깔때기2개,140000,3,판매완료,미사2동,2025-11-18 11:05:20,https://web.joongna.com/product/221203338,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,221844014,베이비브레짜 분유제조기,230000,0,판매중,장수서창동,2025-11-14 19:08:06,https://web.joongna.com/product/221844014,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,221769270,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,220000,3,판매완료,노은3동,2025-11-12 19:18:02,https://web.joongna.com/product/221769270,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,221089121,브레짜 분유제조기 팝니다,230000,3,판매완료,연수1동,2025-11-07 21:30:32,https://web.joongna.com/product/221089121,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,221236962,베이비브레짜 분유제조기,100000,3,판매완료,상현1동,2025-11-06 10:45:06,https://web.joongna.com/product/221236962,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220734799,베이비브레짜 자동분유제조기 BRZFRP-1A,240000,3,판매완료,평동,2025-11-05 17:36:31,https://web.joongna.com/product/220734799,,BRZFRP-1A,text_code,not_requested
브레짜 분유,221292572,베이비브레짜 분유제조기 신형,200000,3,판매완료,,2025-10-30 19:49:46,https://web.joongna.com/product/221292572,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,220914214,베이비브레짜분유제조기,20000,3,판매완료,,2025-10-24 15:51:35,https://web.joongna.com/product/220914214,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,221060908,베이비브레짜 분유제조기 새상품,200000,3,판매완료,화곡제1동,2025-10-24 13:39:25,https://web.joongna.com/product/221060908,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,216082575,"[풀박스] 베이비브레짜 분유 제조기 + 추가 정품 물통, 깔때기",80000,3,판매완료,불광제1동,2025-10-21 01:09:38,https://web.joongna.com/product/216082575,,FORMULA_PRO,text_variant,not_requested
