search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url,description,model,model_source,detail_status
미닉스 음식물처리기,231871503,미닉스 음식물처리기,415000,0,판매중,수궁동,2026-08-27 13:26:50,https://web.joongna.com/product/231871503,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,231876498,(26년4월제품) 미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용 MNFD-200G,260000,0,판매중,가산동,2026-08-26 15:08:03,https://web.joongna.com/product/231876498,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,231737847,[미개봉] 미닉스 더플렌더 Max 건조분쇄 음식물처리기 MNFD-200G 판매합니다,370000,0,판매중,,2026-08-26 10:07:45,https://web.joongna.com/product/231737847,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,231122044,미닉스 더플랜더 맥스 MNFD-200G 음식물처리기,330000,0,판매중,상계1동,2026-08-25 22:39:18,https://web.joongna.com/product/231122044,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,231419605,미닉스 더플랜더 맥스 MNFD-200G 음식물처리기,330000,0,판매중,상계1동,2026-08-25 22:39:27,https://web.joongna.com/product/231419605,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,231122083,미닉스 더플랜더 맥스 MNFD-200G 음식물처리기,340000,0,판매중,상계1동,2026-08-25 22:39:16,https://web.joongna.com/product/231122083,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,229514651,미닉스 음식물처리기 더플렌더 MAX 미개봉 새제품 / 백화점제품,395000,0,판매중,동면,2026-08-25 15:09:33,https://web.joongna.com/product/229514651,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,231840142,(1번사용)미닉스 더플렌더 Max 건조분쇄 음식물처리기 MNFD-200G 판매합니다,400000,0,판매중,거창읍,2026-08-25 11:29:40,https://web.joongna.com/product/231840142,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,231780352,미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용,300000,0,판매중,,2026-08-25 09:13:30,https://web.joongna.com/product/231780352,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,231819630,미닉스 음식물 처리기,250000,0,판매중,성남동,2026-08-24 16:40:05,https://web.joongna.com/product/231819630,,THE_PLENDER,text_variant,not_requested
