search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url
쿠쿠 밥솥,409038125,새상품 무료배송 쿠쿠 트윈프레셔 밥솥 10인용 CRP-ST1095FGW,220000,0,판매중,새상품,경기도 평택시 비전2동,True,12,0,2026-05-19 20:04:51,1779188691,,610600008,https://m.bunjang.co.kr/products/409038125
쿠쿠 밥솥,372094210,쿠쿠 CR-0671V 전기보온밥솥,20000,0,판매중,중고,서울특별시 성북구 삼선동,False,2,0,2026-05-19 13:36:35,1779165395,,610600008,https://m.bunjang.co.kr/products/372094210
쿠쿠 밥솥,408953047,쿠쿠 전기압력밥솥 QS1010FG,230000,0,판매중,새상품,,False,1,0,2026-05-19 12:25:12,1779161112,,610600008,https://m.bunjang.co.kr/products/408953047
쿠쿠 밥솥,408914475,쿠쿠 전기 압력 밥솥 010FG,265000,0,판매중,새상품,,False,0,0,2026-05-19 05:41:32,1779136892,,610600008,https://m.bunjang.co.kr/products/408914475
쿠쿠 밥솥,393433507,쿠쿠 10인용 전기압력밥솥,100000,0,판매중,중고,서울특별시 강서구 등촌제1동,False,0,0,2026-05-17 10:45:46,1778982346,밥솥 압력밥솥 전기압력밥솥 쿠쿠 쿠쿠밥솥,800400999,https://m.bunjang.co.kr/products/393433507
쿠쿠 밥솥,408229993,쿠쿠IH 6인용압력밥솥,160000,0,판매중,중고,,False,1,0,2026-05-15 19:04:32,1778839472,,610600008,https://m.bunjang.co.kr/products/408229993
쿠쿠 밥솥,407588057,쿠쿠 밥솥,60000,0,판매중,중고,울산광역시 북구 효문동,True,1,0,2026-05-12 13:45:50,1778561150,,610600008,https://m.bunjang.co.kr/products/407588057
쿠쿠 밥솥,407250932,쿠쿠 밥솥 트윈프레셔 마스터세프 저당밥솥 6인용,430000,0,판매중,새상품,경기도 용인시 처인구 포곡읍,False,0,0,2026-05-10 19:57:28,1778410648,,610600008,https://m.bunjang.co.kr/products/407250932
쿠쿠 밥솥,406636225,쿠쿠 2인용 마시멜로 밥솥 CR-0255MW,18000,0,판매중,중고,,True,2,0,2026-05-07 22:39:56,1778161196,,610600008,https://m.bunjang.co.kr/products/406636225
쿠쿠 밥솥,406614667,쿠쿠 10인용 압력밥솥 P-R1025FBS,100000,0,판매중,중고,,True,2,0,2026-05-07 20:49:10,1778154550,,610600008,https://m.bunjang.co.kr/products/406614667
