search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url
브레짜 분유,227892578,베이비브레짜 분유제조기,240000,0,판매중,권선2동,2026-04-26 11:59:08,https://web.joongna.com/product/227892578
브레짜 분유,227934695,(새상품급)브레짜 분유제조기,160000,3,판매완료,효문동,2026-04-26 08:53:46,https://web.joongna.com/product/227934695
브레짜 분유,227885233,[미개봉]베이비 브레짜 분유제조기 출수형 분유포트 화이트,240000,3,판매완료,화곡제4동,2026-04-24 19:03:49,https://web.joongna.com/product/227885233
브레짜 분유,227728921,베이비브레짜 분유제조기 화이트+깔때기2개,200000,3,판매완료,탄벌동,2026-04-22 15:40:46,https://web.joongna.com/product/227728921
브레짜 분유,227595207,베이비브레짜 분유제조기 미개봉 새제품,200000,3,판매완료,남포동,2026-04-17 00:08:56,https://web.joongna.com/product/227595207
브레짜 분유,227526560,분유제조기 베이비브레짜,68000,0,판매중,,2026-04-15 10:43:35,https://web.joongna.com/product/227526560
브레짜 분유,227347612,베이비브레짜 분유제조기 새상품,200000,3,판매완료,,2026-04-10 15:53:52,https://web.joongna.com/product/227347612
브레짜 분유,227139292,베이비브레짜 분유제조기,15000,0,판매중,내동,2026-04-05 11:05:11,https://web.joongna.com/product/227139292
브레짜 분유,227020598,브레짜분유제조기(블랙)&브레짜분유세척기 미개봉 새상품,500000,3,판매완료,다대제1동,2026-04-05 08:24:21,https://web.joongna.com/product/227020598
브레짜 분유,226750551,브레짜 분유포트,20000,0,판매중,고덕제2동,2026-04-03 12:49:17,https://web.joongna.com/product/226750551
브레짜 분유,226197300,베이비 브레짜 ( Baby Brezza ) 분유제조기,23000,3,판매완료,은행2동,2026-04-02 20:14:23,https://web.joongna.com/product/226197300
브레짜 분유,223634989,베이비브레짜 분유제조기,90000,3,판매완료,연수1동,2026-03-31 11:42:29,https://web.joongna.com/product/223634989
브레짜 분유,226813054,신형 베이비브레짜 분유제조기,100000,0,판매중,,2026-03-27 19:37:12,https://web.joongna.com/product/226813054
브레짜 분유,225366985,브레짜 분유제조기 올화이트 사용기간 4개월,105000,3,판매완료,하계2동,2026-03-18 19:14:55,https://web.joongna.com/product/225366985
브레짜 분유,225606199,브레짜 분유제조기,150000,0,판매중,상봉제1동,2026-03-10 17:37:26,https://web.joongna.com/product/225606199
브레짜 분유,226030812,베이비브레짜 분유제조기 화이트 (새상품)/공식등록증,200000,3,판매완료,방이1동,2026-03-07 21:29:59,https://web.joongna.com/product/226030812
브레짜 분유,226011734,베이비브레짜 분유제조기 본사 세척서비스 완료 (깔대기2개 분유통2개),70000,0,판매중,,2026-03-07 13:08:53,https://web.joongna.com/product/226011734
브레짜 분유,220129468,화이트 베이비 브레짜 분유제조기 (분해세척 완료) 출산준비,170000,0,판매중,,2026-03-04 10:58:30,https://web.joongna.com/product/220129468
브레짜 분유,224877749,베이비브레짜 포뮬라 프로 어드밴스드 자동 분유제조기,55000,3,판매완료,,2026-03-03 17:03:47,https://web.joongna.com/product/224877749
브레짜 분유,225431096,신형)베이비브레짜 분유제조기 미개봉 새상품,240000,3,판매완료,비전1동,2026-02-19 22:48:34,https://web.joongna.com/product/225431096
브레짜 분유,225429154,베이비브레짜 분유제조기 (업체세척완료),80000,3,판매완료,,2026-02-19 21:55:58,https://web.joongna.com/product/225429154
브레짜 분유,225017769,베이비브레짜 분유제조기 화이트 미개봉 새상품 (깔때기 2개 추가 증정),260000,3,판매완료,답십리제1동,2026-02-07 17:34:01,https://web.joongna.com/product/225017769
브레짜 분유,223974605,베이비 브레짜 분유 제조기,250000,3,판매완료,청담동,2026-02-07 17:06:04,https://web.joongna.com/product/223974605
브레짜 분유,224245632,베이비브레짜 분유제조기,45000,3,판매완료,범안동,2026-02-05 17:04:47,https://web.joongna.com/product/224245632
브레짜 분유,224832046,"베이비브레짜 분유제조기(새상품,깔대기두세트포함)",160000,3,판매완료,용상동,2026-02-02 19:54:44,https://web.joongna.com/product/224832046
브레짜 분유,224700499,베이비브레짜 분유제조기,250000,0,판매중,문정2동,2026-01-30 11:05:22,https://web.joongna.com/product/224700499
브레짜 분유,224385247,베이비브레짜 분유제조기,64000,3,판매완료,구의제2동,2026-01-21 22:33:58,https://web.joongna.com/product/224385247
브레짜 분유,224346101,베이비 브레짜 분유제조기,30000,3,판매완료,구갈동,2026-01-20 22:37:07,https://web.joongna.com/product/224346101
브레짜 분유,222765750,베이비브레짜 분유 제조기 (2달 사용),50000,3,판매완료,서초4동,2026-01-20 14:56:37,https://web.joongna.com/product/222765750
브레짜 분유,224282846,베이비브레짜 분유제조기,210000,0,판매중,은행동,2026-01-19 12:22:20,https://web.joongna.com/product/224282846
브레짜 분유,223996863,베이비 브레짜 포뮬라 프로 어드벤스드 분유포트신형 미개봉,200000,3,판매완료,서원동,2026-01-16 12:53:29,https://web.joongna.com/product/223996863
브레짜 분유,223507131,베이비브레짜 분유제조기,39000,3,판매완료,팔복동,2026-01-10 18:51:26,https://web.joongna.com/product/223507131
브레짜 분유,223941215,미개봉새상품 베이비브레짜 포뮬러 프로 어드밴스드 화이트 분유제조기,123456,3,판매완료,,2026-01-10 11:33:44,https://web.joongna.com/product/223941215
브레짜 분유,223932428,베이비브레짜 분유제조기(미개봉 새상품),230000,3,판매완료,삼산동,2026-01-10 00:28:26,https://web.joongna.com/product/223932428
브레짜 분유,223862980,베이비 브레짜 분유제조기 BRZFRP-1A,20000,3,판매완료,청라2동,2026-01-08 09:09:18,https://web.joongna.com/product/223862980
브레짜 분유,223404536,베이비브레짜 분유제조기,65000,0,판매중,안양1동,2026-01-07 15:18:05,https://web.joongna.com/product/223404536
브레짜 분유,223780796,(새상품)베이비브레짜 분유제조기 새상품 + 추가깔때기 1개,250000,3,판매완료,성산제1동,2026-01-05 23:34:33,https://web.joongna.com/product/223780796
브레짜 분유,223229086,베이비브레짜 분유제조기,95000,3,판매완료,,2026-01-04 17:04:18,https://web.joongna.com/product/223229086
브레짜 분유,223424198,베이비브레짜 자동 분유제조기 1.5L,200000,0,판매중,,2026-01-03 10:38:41,https://web.joongna.com/product/223424198
브레짜 분유,152521845,베이비브레짜 분유제조기,80000,0,판매중,성내1동,2025-12-31 09:42:15,https://web.joongna.com/product/152521845
브레짜 분유,223498447,"베이비브레짜 분유제조기 풀박스+깔대기, 물통",80000,3,판매완료,,2025-12-29 12:46:07,https://web.joongna.com/product/223498447
브레짜 분유,223430315,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,170000,0,판매중,과천동,2025-12-27 15:27:48,https://web.joongna.com/product/223430315
브레짜 분유,222119721,버들맘마 스마트 분유제조기(브레짜 상위버전),250000,0,판매중,의정부1동,2025-12-26 13:21:01,https://web.joongna.com/product/222119721
브레짜 분유,163884791,브레짜 분유제조기,35000,0,판매중,남사읍,2025-12-24 09:32:39,https://web.joongna.com/product/163884791
브레짜 분유,223181569,베이비브레짜 포뮬라프로 어드밴스드 분유제조기,100000,0,판매중,동춘1동,2025-12-20 16:22:50,https://web.joongna.com/product/223181569
