search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url,description,model,model_source,detail_status
풀리오 마사지기,417218204,풀리오 넥풀러 목어깨 마사지기,190000,1,예약중,중고,,False,2,0,2026-07-01 11:16:09,1782872169,,610500006,https://m.bunjang.co.kr/products/417218204,,NECK_PULLER,text_variant,not_requested
풀리오 마사지기,408392785,풀리오V3 목 어깨 마사지기,100000,0,판매중,중고,,True,9,0,2026-06-29 21:26:31,1782735991,,610500006,https://m.bunjang.co.kr/products/408392785,,NECK_SHOULDER_V3,text_variant,not_requested
풀리오 마사지기,346814826,풀리오 목어깨 마사지기,50000,0,판매중,중고,,False,5,0,2026-06-29 10:43:39,1782697419,,610500006,https://m.bunjang.co.kr/products/346814826,,NECK_SHOULDER,text_variant,not_requested
풀리오 마사지기,416617467,풀리오 본사 N001 풀리오 목어깨 마사지기,100000,0,판매중,새상품,경상북도 경산시 서부1동,False,1,0,2026-06-28 08:46:35,1782603995,,610500006,https://m.bunjang.co.kr/products/416617467,,N001,text_code,not_requested
풀리오 마사지기,416538137,(실사용 5회 미만)풀리오 V2 마사지기 퍼플 박스포함,60000,0,판매중,중고,서울특별시 양천구 목2동,False,1,0,2026-06-27 20:16:58,1782559018,,610500006,https://m.bunjang.co.kr/products/416538137,두번 정도 썼습니다 모든 구성품 드립니다,제품군 공통,product_group,200
풀리오 마사지기,367027385,풀리오 목 어깨 마사지기 V1,60000,0,판매중,중고,,False,0,0,2026-06-25 13:48:43,1782362923,,610500006,https://m.bunjang.co.kr/products/367027385,,NECK_SHOULDER_V1,text_variant,not_requested
풀리오 마사지기,414066187,풀리오 목어깨 마사지기,40000,1,예약중,중고,서울특별시 은평구 역촌동,True,2,0,2026-06-24 07:21:02,1782253262,풀리오 마사지,610500006,https://m.bunjang.co.kr/products/414066187,,NECK_SHOULDER,text_variant,not_requested
풀리오 마사지기,368788522,풀리오 목어깨 마사지기 풀세트,70000,0,판매중,중고,부산광역시 북구 화명제1동,False,1,0,2026-06-17 00:02:53,1781622173,폴리오 어깨마사지기,610500006,https://m.bunjang.co.kr/products/368788522,,NECK_SHOULDER,text_variant,not_requested
풀리오 마사지기,414418071,풀리오 탭탭 목 어깨 마사지기,58000,0,판매중,중고,,False,0,0,2026-06-16 10:49:09,1781574549,,610500006,https://m.bunjang.co.kr/products/414418071,,NECK_SHOULDER,text_variant,not_requested
풀리오 마사지기,414362582,풀리오 V2 종아리 공기압 마사지기 퍼플,100000,0,판매중,새상품,서울특별시 강남구 개포2동,False,3,0,2026-06-15 21:34:59,1781526899,,610500006,https://m.bunjang.co.kr/products/414362582,,CALF_V2,text_variant,not_requested
풀리오 마사지기,413333839,풀리오 백풀러 허리 마사지기,50000,1,예약중,새상품,,False,1,0,2026-06-09 18:29:02,1780997342,,610500006,https://m.bunjang.co.kr/products/413333839,,BACK_PULLER,text_variant,not_requested
풀리오 마사지기,413129470,풀리오 목 어깨 마사지기,65000,0,판매중,중고,,False,0,0,2026-06-08 13:49:58,1780894198,,610500006,https://m.bunjang.co.kr/products/413129470,,NECK_SHOULDER,text_variant,not_requested
