search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url,description,model,model_source,detail_status
미닉스 음식물처리기,413038403,미닉스 더플렌더 프로,256000,1,예약중,중고,부산광역시 동래구 명륜동,False,3,0,2026-06-28 08:37:52,1782603472,미닉스음식물 미닉스 미닉스프로 음식물처리기 미닉스맥스,610600012,https://m.bunjang.co.kr/products/413038403,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,410904633,미닉스 더플렌더 MAX 음식물처리기 조용한 건조분쇄형,330000,0,판매중,중고,서울특별시 금천구 가산동,False,2,0,2026-06-26 17:18:07,1782461887,미닉스 플렌더 맥스 음식물 처리기,610600012,https://m.bunjang.co.kr/products/410904633,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,414437931,미닉스 더 플랜더 MAX음식물 처리기,250000,1,예약중,중고,,True,12,0,2026-06-20 17:50:08,1781945408,,610600012,https://m.bunjang.co.kr/products/414437931,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,413715124,완전신품급 무료배송 미닉스 더플렌더 맥스 음식물처리기,320000,0,판매중,새상품,경기도 평택시 비전2동,True,9,0,2026-06-12 12:27:31,1781234851,,610600012,https://m.bunjang.co.kr/products/413715124,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,400616791,미닉스 더 플렌더 맥스 음식물처리기,370000,0,판매중,중고,,True,5,0,2026-06-10 17:39:40,1781080780,미닉스 미닉스음식물처리기 음식물처리기,610600012,https://m.bunjang.co.kr/products/400616791,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,413169834,미닉스 음식물처리기,330000,0,판매중,새상품,광주광역시 서구 화정4동,False,0,0,2026-06-08 18:32:53,1780911173,,610600012,https://m.bunjang.co.kr/products/413169834,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,412468878,(미개봉)미닉스 더 플렌더pro 음식물처리기,340420,0,판매중,새상품,대구광역시 달서구 감삼동,True,8,0,2026-06-05 12:24:57,1780629897,음식물처리기 미닉스 가전 주방,610600012,https://m.bunjang.co.kr/products/412468878,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,406989213,신품급 무료배송 미닉스 더 플렌더 음식물처리기,310000,0,판매중,새상품,경기도 평택시 비전2동,True,5,0,2026-05-18 00:04:23,1779030263,,610600012,https://m.bunjang.co.kr/products/406989213,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,408176087,미닉스 음식물처리기,200000,0,판매중,중고,,True,29,0,2026-05-15 14:31:17,1778823077,,610600012,https://m.bunjang.co.kr/products/408176087,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,407253736,미닉스 더 플렌더 맥스 음식물처리기 MNFD-200G 신품급 3L 무료배,320000,0,판매중,중고,경기도 평택시 비전2동,True,8,0,2026-05-10 20:09:32,1778411372,,610600012,https://m.bunjang.co.kr/products/407253736,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,405965095,미닉스 음식물처리기,89000,1,예약중,중고,,False,3,0,2026-05-04 21:58:09,1777899489,,610600012,https://m.bunjang.co.kr/products/405965095,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,405689936,미닉스 더플랜더맥스 음식물처리기 팝니다,350000,0,판매중,중고,강원특별자치도 원주시 흥업면,True,2,0,2026-05-04 00:16:08,1777821368,,610600012,https://m.bunjang.co.kr/products/405689936,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,405001329,13)미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용 3L,295000,1,예약중,중고,경기도 파주시 문산읍,True,3,0,2026-05-03 21:13:35,1777810415,음식물처리기 미닉스 미닉스더플랜더 음쓰처리기 음쓰,610600012,https://m.bunjang.co.kr/products/405001329,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,404332250,2) 미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용 3L,295000,1,예약중,중고,경기도 파주시 문산읍,True,2,0,2026-04-27 15:54:55,1777272895,음식물처리기 미닉스 미닉스더플랜더 음쓰처리기 음쓰,610600012,https://m.bunjang.co.kr/products/404332250,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,403062828,미닉스 음식물처리기 더플랜더 맥스 MNFD-200G,350000,1,예약중,중고,,True,3,0,2026-04-21 14:21:24,1776748884,,610600012,https://m.bunjang.co.kr/products/403062828,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,403060498,미닉스 음식물처리기 더플랜더 맥스 MNFD-200G,320000,1,예약중,중고,,True,1,0,2026-04-21 14:09:20,1776748160,,610600012,https://m.bunjang.co.kr/products/403060498,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,402000271,미닉스 더 플렌더 맥스 음식물처리기,250000,1,예약중,중고,,True,2,0,2026-04-17 09:47:31,1776386851,미닉스음식물처리기,610600012,https://m.bunjang.co.kr/products/402000271,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,394308478,미닉스 더 플렌더 MAX 음식물처리기 새상품,430000,1,예약중,새상품,서울특별시 송파구 잠실6동,False,1,0,2026-03-11 08:58:26,1773187106,,610600012,https://m.bunjang.co.kr/products/394308478,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,367192043,미닉스 더플렌더 basic 음식물처리기,190000,0,판매중,중고,,False,10,0,2026-03-02 20:05:59,1772449559,미닉스 미닉스음식물처리기 minix 음식물처리기 소형가전,610600012,https://m.bunjang.co.kr/products/367192043,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,387726717,(새상품) 미닉스 음식물 처리기,440000,0,판매중,새상품,,True,3,0,2026-02-27 08:53:51,1772150031,,610600012,https://m.bunjang.co.kr/products/387726717,,THE_PLENDER,text_variant,not_requested
