search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url,description,model,model_source,detail_status
브레짜 분유,425317295,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,180000,0,판매중,중고,강원특별자치도 원주시 명륜1동,False,1,0,2026-08-23 18:58:27,1787479107,,500120006,https://m.bunjang.co.kr/products/425317295,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,423923400,베이비브레짜 포뮬러 프로 어드밴스 분유제조기(국내정발),120000,0,판매중,중고,경기도 양주시 회천2동,False,0,0,2026-08-11 22:06:06,1786453566,,500120004,https://m.bunjang.co.kr/products/423923400,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,423543242,베이비브레짜 판매합니다,105000,0,판매중,중고,대전광역시 동구 효동,False,0,0,2026-08-08 19:09:13,1786183753,분유 분유쉐이커 베이비브레짜 수유 육아용품,500120004,https://m.bunjang.co.kr/products/423543242,5개월정도 사용했고 아기 새벽수유 끝나서 판매합니다 세척까지 모두 완료했어요~ 풀박스에요!,제품군 공통,product_group,200
브레짜 분유,423296069,무배/새상품급 베이비브레짜 Formula Pro Advanced 분유제조기 BRZFRP-1A,220000,0,판매중,중고,경기도 평택시 비전1동,True,0,0,2026-08-06 17:37:29,1786005449,,500120004,https://m.bunjang.co.kr/products/423296069,,BRZFRP-1A,text_code,not_requested
브레짜 분유,422193500,베이비브레짜 Formula Pro Advanced 자동분유제조기(완전미개봉),220000,0,판매중,새상품,경상남도 창원시 의창구 북면,False,0,0,2026-07-28 18:37:28,1785231448,,500120004,https://m.bunjang.co.kr/products/422193500,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,410822830,베이비브레짜 분유제조기 미개봉 새상품,200000,0,판매중,새상품,,True,4,0,2026-07-24 21:29:20,1784896160,,500120004,https://m.bunjang.co.kr/products/410822830,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,421715486,무배/바배 베이비브레짜 자동분유제조기 신형 (BRZFRP-1A),220000,0,판매중,중고,경기도 평택시 비전1동,True,0,0,2026-07-24 16:05:05,1784876705,,610999,https://m.bunjang.co.kr/products/421715486,,BRZFRP-1A,text_code,not_requested
브레짜 분유,421450966,브레짜 자동 분유 제조기,45000,1,예약중,중고,,True,0,0,2026-07-22 16:50:17,1784706617,,500120003,https://m.bunjang.co.kr/products/421450966,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,420529965,베이비브레짜 신형 자동 분유제조기 BRZFRP-1A,94000,0,판매중,중고,,False,1,0,2026-07-18 01:39:31,1784306371,,500120003,https://m.bunjang.co.kr/products/420529965,,BRZFRP-1A,text_code,not_requested
브레짜 분유,419250379,베이비브레짜 분유제조기 + 유팡소득기,140000,0,판매중,중고,경기도 수원시 권선구 세류1동,False,1,0,2026-07-11 15:22:39,1783750959,,500120004,https://m.bunjang.co.kr/products/419250379,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,417691302,베이비브레짜 분유제조기 최신형 새상품 미개봉,189000,1,예약중,새상품,,False,0,0,2026-07-04 12:47:51,1783136871,,500120004,https://m.bunjang.co.kr/products/417691302,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,417497884,베이비 브레짜 분유제조기,100000,0,판매중,중고,경기도 화성시 동탄구 동탄9동,True,2,0,2026-07-02 18:45:13,1782985513,,500120003,https://m.bunjang.co.kr/products/417497884,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,401570375,베이비브레짜 분유제조기,37000,0,판매중,중고,,False,3,0,2026-05-20 21:30:14,1779280214,베이비브레짜,500120004,https://m.bunjang.co.kr/products/401570375,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,399994808,베이비 브레짜 분유제조기,205000,0,판매중,중고,경기도 용인시 처인구 이동읍,False,1,0,2026-04-07 12:59:21,1775534361,베이비브레짜 분유제조기 수유,500120003,https://m.bunjang.co.kr/products/399994808,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,394718349,베이비브레짜 분유제조기(미사용새상품),210000,0,판매중,새상품,,True,3,0,2026-03-12 15:30:22,1773297022,,500120004,https://m.bunjang.co.kr/products/394718349,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,394475680,"베이비브레짜 분유제조기 미사용(개봉만), 깔대기 2개",300000,0,판매중,새상품,,False,0,0,2026-03-11 03:54:34,1773168874,베이비브레짜,500120004,https://m.bunjang.co.kr/products/394475680,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,390990692,베이비브레짜 Formula Pro Advanced 자동분유제조기,260000,0,판매중,새상품,서울특별시 마포구 도화동,False,0,0,2026-02-23 03:58:20,1771786700,,500120004,https://m.bunjang.co.kr/products/390990692,,FORMULA_PRO_ADVANCED,text_variant,not_requested
브레짜 분유,350490000,브레짜 분유제조기 가방포함 깔대기 5개,120000,0,판매중,중고,,True,0,0,2026-02-06 18:49:37,1770371377,,500120004,https://m.bunjang.co.kr/products/350490000,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,383711612,베이비 브레짜 화이트,210000,0,판매중,중고,경상북도 경주시 용강동,False,1,0,2026-01-20 21:25:05,1768911905,수유 베이비브레짜 분유 아기용품,500120004,https://m.bunjang.co.kr/products/383711612,"베이비 브레짜 출수형 분유제조기 화이트색상입니다. 2025.1.30. 구매했고, 구매해서 5월에 세척하고 한번도 사용안한 제품입니다. 손으로 타는게 익숙해져서 세척만 한번하고 그대로 두었습니다. 깔때기는 하나 더 구매해서 총 2개입니다. 박스, 설명서 다 있습니다.",FORMULA_PRO,detail_text_variant,200
브레짜 분유,376828224,베이비브레짜분유제조기,300000,0,판매중,새상품,대전광역시 유성구 진잠동,False,0,0,2025-12-18 14:50:36,1766037036,,500120004,https://m.bunjang.co.kr/products/376828224,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,375978703,브레짜 분유제조기,35000,0,판매중,중고,,False,2,0,2025-12-14 17:01:02,1765699262,,500120004,https://m.bunjang.co.kr/products/375978703,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,369596804,브레짜 분유제조기,210000,0,판매중,중고,,True,0,0,2025-11-16 11:32:40,1763260360,브레짜 분유제조기,500120003,https://m.bunjang.co.kr/products/369596804,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,362536787,베이비 브레짜 자동 분유 제조기,270000,0,판매중,새상품,,True,0,0,2025-10-14 08:55:09,1760399709,,500120004,https://m.bunjang.co.kr/products/362536787,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,419735206,26년1월구매) 베이비브레짜 자동 분유제조기,150000,3,판매완료,중고,서울특별시 동대문구 답십리제1동,False,1,0,2026-07-13 23:09:02,1783951742,베이비브레짜 분유제조기 유아용품 분유,500120004,https://m.bunjang.co.kr/products/419735206,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,419162149,2026년 6월구매 베이비 브레짜 분유제조기,150000,3,판매완료,중고,경기도 수원시 영통구 광교2동,True,1,0,2026-07-11 01:12:56,1783699976,베이비브레짜 브레짜 분유제조기 브레짜분유제조기 분유포트,500120004,https://m.bunjang.co.kr/products/419162149,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,415074216,베이비브레짜 분유제조기,210000,3,판매완료,새상품,서울특별시 동작구 사당제2동,True,0,0,2026-06-20 11:39:42,1781923182,베이비브레짜 분유제조기,500120004,https://m.bunjang.co.kr/products/415074216,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,410648727,"[DDB하남,S급] 베이비브레짜 신형 자동 분유제조기 BRZFRP-2A",90000,3,판매완료,중고,,True,1,0,2026-06-13 23:00:22,1781359222,분유제조기 베이비브레짜 분유 블렌더 분유제조,610600006,https://m.bunjang.co.kr/products/410648727,,BRZFRP-2A,text_code,not_requested
브레짜 분유,413117417,브레짜 분유제조기,70000,3,판매완료,중고,,True,0,0,2026-06-08 12:00:03,1780887603,,500120004,https://m.bunjang.co.kr/products/413117417,,FORMULA_PRO,text_variant,not_requested
