platform,source_file,product_id,search_keyword,model,title,price,reference_median,robust_lower,robust_upper,reference_count,action,reason,product_url
joonggonara,dyson_vacuum_products.csv,231901495,다이슨 청소기,V16,다이슨 청소기 V16 가장 최신형 판매합니다,1100000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/231901495
joonggonara,dyson_vacuum_products.csv,231835371,다이슨 청소기,V16,미개봉] 다이슨 v16 피스톤 애니멀 서브마린 무선청소기 판매합니다,1000000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/231835371
joonggonara,dyson_vacuum_products.csv,230289805,다이슨 청소기,V6,다이슨 V6 무선청소기 (세척완료.새배터리),96000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/230289805
joonggonara,dyson_vacuum_products.csv,231198421,다이슨 청소기,V6,[새제품]다이슨 V6 애니멀 무선 청소기,165000,25000,0,95000,146,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/231198421
joonggonara,dyson_vacuum_products.csv,230957663,다이슨 청소기,V6,다이슨V6 + V7 플러피 무선청소기,155000,25000,0,95000,146,제외,가격 이상치-복수상품,https://web.joongna.com/product/230957663
joonggonara,dyson_vacuum_products.csv,225617334,다이슨 청소기,제품군 공통,다이슨 청소기 Gen5 디텍트 새상품,790000,50000,0,710000,158,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/225617334
joonggonara,dyson_vacuum_products.csv,230404897,다이슨 청소기,V15S,다이슨 프리미엄 디텍트 서브마린 물걸레+진공 무선청소기 V15S / 엘로니켈프리미엄 디텍트 서브마린 물걸레+진공 무,830000,50000,0,620000,1122,제외,가격 이상치-복수상품,https://web.joongna.com/product/230404897
joonggonara,dyson_vacuum_products.csv,229764332,다이슨 청소기,제품군 공통,다이슨 로봇청소기 판매 합니다,750000,50000,0,710000,158,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/229764332
joonggonara,dyson_vacuum_products.csv,229357562,다이슨 청소기,V15S,"[다이슨 청소기] 다이슨 V15s 디텍트 서브마린 컴플리트(미개봉,새상품)",900000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/229357562
joonggonara,dyson_vacuum_products.csv,229357562,다이슨 청소기,V15S,"[다이슨 청소기] 다이슨 V15s 디텍트 서브마린 컴플리트(미개봉,새상품)",900000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/229357562
joonggonara,dyson_vacuum_products.csv,227199656,다이슨 청소기,V6,다이슨 v6 풀세트 미사용 무선청소기,120000,25000,0,95000,146,제외,가격 이상치-복수상품,https://web.joongna.com/product/227199656
joonggonara,dyson_vacuum_products.csv,226852716,다이슨 청소기,V16,다이슨 피스톤 V16 DS60 애니멀 무선 청소기,750000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/226852716
joonggonara,dyson_vacuum_products.csv,226216953,다이슨 청소기,V16,다이슨 v16 피스톤 애니멀 무선청소기,950000,50000,0,620000,1122,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/226216953
joonggonara,dyson_vacuum_products.csv,225916119,다이슨 청소기,제품군 공통,다이슨 피스톤 애니멀 DS60 무선청소기 미개봉,850000,50000,0,710000,158,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/225916119
joonggonara,dyson_vacuum_products.csv,217963265,다이슨 청소기,제품군 공통,다이슨 청소기 Gen5 멀티충전거치대포함 새상품,790000,50000,0,710000,158,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://web.joongna.com/product/217963265
joonggonara,dyson_vacuum_products.csv,222635838,다이슨 청소기,V15S,다이슨 프리미엄 디텍트 서브마린 물걸레+진공 무선청소기 V15S / 옐로니켈,700000,50000,0,620000,1122,제외,가격 이상치-복수상품,https://web.joongna.com/product/222635838
joonggonara,dyson_vacuum_products.csv,224510685,다이슨 청소기,V15S,다이슨 프리미엄 디텍트 서브마린 물걸레+진공 무선청소기 V15S / 엘로니켈,760000,50000,0,620000,1122,제외,가격 이상치-복수상품,https://web.joongna.com/product/224510685
